Method,Planner,Motion Profile,Map ID,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Flight time,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision,Freezing,Dead Lock
LookAhead,Primitive,RVO,53,10,10,40,20,0,40.8,782,6,6.783333333333334,1,0,0,0,0
LookAhead,Primitive,RVO,54,10,10,40,20,0,18.2,361,2,4.4,0,0,0,0,1
LookAhead,Primitive,RVO,55,10,10,40,20,0,37.2,692,6,6.866666666666667,0,0,1,0,0
LookAhead,Primitive,RVO,56,10,10,40,20,0,39.7,760,8,7.375,1,0,0,0,0
LookAhead,Primitive,RVO,57,10,10,40,20,0,29.0,561,7,6.585714285714286,0,0,1,0,0
LookAhead,Primitive,RVO,58,10,10,40,20,0,8.700000000000001,187,1,3.6,0,0,1,0,0
LookAhead,Primitive,RVO,59,10,10,40,20,0,42.5,866,4,5.95,1,0,0,0,0
LookAhead,Primitive,RVO,0,10,10,40,40,0,25.0,777,6,8.8,1,0,0,0,0
LookAhead,Primitive,RVO,1,10,10,40,40,0,8.700000000000001,321,2,2.95,0,0,0,0,1
LookAhead,Primitive,RVO,2,10,10,40,40,0,38.0,920,7,6.92857142857143,1,0,0,0,0
LookAhead,Primitive,RVO,3,10,10,40,40,0,22.4,745,2,7.950000000000001,1,0,0,0,0
LookAhead,Primitive,RVO,4,10,10,40,40,0,26.3,836,6,8.15,1,0,0,0,0
LookAhead,Primitive,RVO,5,10,10,40,40,0,6.800000000000001,269,1,0.6000000000000001,0,0,1,0,0
LookAhead,Primitive,RVO,6,10,10,40,40,0,25.700000000000003,784,5,6.1800000000000015,1,0,0,0,0
LookAhead,Primitive,RVO,7,10,10,40,40,0,22.6,738,2,6.6,1,0,0,0,0
LookAhead,Primitive,RVO,8,10,10,40,40,0,25.8,831,2,6.4,1,0,0,0,0
LookAhead,Primitive,RVO,9,10,10,40,40,0,23.6,744,5,4.640000000000001,0,0,1,0,0
LookAhead,Primitive,RVO,10,10,10,40,40,0,26.8,882,5,9.04,1,0,0,0,0
LookAhead,Primitive,RVO,11,10,10,40,40,0,9.6,352,5,6.760000000000001,0,0,1,0,0
LookAhead,Primitive,RVO,12,10,10,40,40,0,25.6,835,7,8.057142857142859,1,0,0,0,0
LookAhead,Primitive,RVO,13,10,10,40,40,0,22.8,743,1,11.0,1,0,0,0,0
LookAhead,Primitive,RVO,14,10,10,40,40,0,15.0,440,5,8.280000000000001,0,0,1,0,0
LookAhead,Primitive,RVO,15,10,10,40,40,0,21.5,689,0,,1,0,0,0,0
LookAhead,Primitive,RVO,16,10,10,40,40,0,21.5,687,2,4.95,1,0,0,0,0
LookAhead,Primitive,RVO,17,10,10,40,40,0,18.4,652,3,2.3000000000000003,0,0,0,0,1
LookAhead,Primitive,RVO,18,10,10,40,40,0,18.9,661,5,4.94,0,0,0,0,1
LookAhead,Primitive,RVO,19,10,10,40,40,0,14.0,496,2,6.95,0,0,1,0,0
LookAhead,Primitive,RVO,20,10,10,40,40,0,22.3,696,2,8.0,1,0,0,0,0
