,Method,Planner,depth var,Number of agents,Number of pillars,Agent speed,Drone speed,Depth variance,Total samples,Success,Static Collision,Dynamic Collision,Dead Lock,Success rate,Tracked agents,Tracked time,velocity ratio
170,Owl,MPC,0,10,0,60,20.0,0,4320,1374,0,2917,29,0.3247685185185185,14721,46844.7,3.0
171,Owl,Primitive,0,10,0,20,40.0,0,8640,7403,3,960,274,0.8885416666666667,21675,141381.90000000002,0.5
172,Owl,Jerk_Primitive,0,10,0,20,40.0,0,7560,7027,5,519,9,0.9306878306878307,14688,68014.9,0.5
173,Owl,MPC,0,10,0,20,40.0,0,4320,3378,0,802,140,0.8143518518518519,8869,48947.0,0.5
174,Owl,Primitive,0,10,0,40,40.0,0,8640,4471,14,2842,1313,0.6694444444444444,22640,90472.3,1.0
175,Owl,Jerk_Primitive,0,10,0,40,40.0,0,7560,6243,0,1314,3,0.8261904761904761,15518,55431.600000000006,1.0
176,Owl,MPC,0,10,0,40,40.0,0,4320,2904,0,1360,56,0.6851851851851852,8747,32301.100000000002,1.0
177,Owl,Primitive,0,10,0,60,40.0,0,8640,2596,1,5214,829,0.39641203703703703,23280,64709.100000000006,1.5
178,Owl,Jerk_Primitive,0,10,0,60,40.0,0,7560,5206,1,2350,3,0.689021164021164,17265,49298.5,1.5
179,Owl,MPC,0,10,0,60,40.0,0,4320,2116,0,2164,40,0.49907407407407406,9283,24789.300000000003,1.5
180,Owl,Primitive,0,10,0,20,60.0,0,8640,7104,45,1369,122,0.8363425925925926,15956,68715.5,0.33
181,Owl,Jerk_Primitive,0,10,0,20,60.0,0,7560,6601,1,958,0,0.8731481481481481,12463,40845.0,0.33
182,Owl,MPC,0,10,0,20,60.0,0,4320,2894,5,1324,97,0.6923611111111111,6813,26201.700000000004,0.33
183,Owl,Primitive,0,10,0,40,60.0,0,8640,5578,23,2922,117,0.6591435185185185,16370,50030.299999999996,0.67
184,Owl,Jerk_Primitive,0,10,0,40,60.0,0,7560,6073,6,1480,1,0.8034391534391534,13002,35751.90000000001,0.67
185,Owl,MPC,0,10,0,40,60.0,0,4320,2523,6,1728,63,0.5986111111111111,6908,19213.3,0.67
186,Owl,Primitive,0,10,0,60,60.0,0,8640,4272,27,4200,141,0.5107638888888889,17161,40706.2,1.0
187,Owl,Jerk_Primitive,0,10,0,60,60.0,0,7560,5541,2,2017,0,0.7329365079365079,13555,31740.800000000003,1.0
188,Owl,MPC,0,10,0,60,60.0,0,4320,2063,2,2206,49,0.4888888888888889,7600,17160.500000000004,1.0
189,Owl,Primitive,0,20,0,20,20.0,0,8640,5173,1,2633,833,0.6951388888888889,47169,346917.5,1.0
190,Owl,Jerk_Primitive,0,20,0,20,20.0,0,7560,5262,0,1957,341,0.7411375661375661,38974,268218.0,1.0
191,Owl,MPC,0,20,0,20,20.0,0,4320,2641,0,1492,187,0.6546296296296297,22848,176149.8,1.0
192,Owl,Primitive,0,20,0,40,20.0,0,8640,1150,3,5281,2206,0.38842592592592595,36855,137811.50000000003,2.0
193,Owl,Jerk_Primitive,0,20,0,40,20.0,0,7560,2173,0,5138,249,0.32037037037037036,35586,144351.7,2.0
194,Owl,MPC,0,20,0,40,20.0,0,4320,1207,0,3051,62,0.29375,21552,90948.6,2.0
195,Owl,Primitive,0,20,0,60,20.0,0,8640,341,2,6851,1446,0.2068287037037037,31670,78551.0,3.0
196,Owl,Jerk_Primitive,0,20,0,60,20.0,0,7560,731,0,6667,162,0.11812169312169313,28398,73607.9,3.0
197,Owl,MPC,0,20,0,60,20.0,0,4320,458,0,3816,46,0.11666666666666667,18647,50307.20000000001,3.0
198,Owl,Primitive,0,20,0,20,40.0,0,8640,5991,3,1977,669,0.7708333333333334,43410,275978.8,0.5
199,Owl,Jerk_Primitive,0,20,0,20,40.0,0,7560,6322,3,1217,18,0.8386243386243386,29829,132811.0,0.5
200,Owl,MPC,0,20,0,20,40.0,0,4320,2663,0,1452,205,0.6638888888888889,17271,92486.5,0.5
201,Owl,Primitive,0,20,0,40,40.0,0,8640,2286,6,4459,1889,0.4832175925925926,35419,129151.1,1.0
202,Owl,Jerk_Primitive,0,20,0,40,40.0,0,7560,5096,3,2441,20,0.6767195767195767,29524,101379.4,1.0
203,Owl,MPC,0,20,0,40,40.0,0,4320,1942,0,2267,111,0.4752314814814815,15806,54197.90000000001,1.0
204,Owl,Primitive,0,20,0,60,40.0,0,8640,780,3,6668,1189,0.22789351851851852,29986,70951.1,1.5
205,Owl,Jerk_Primitive,0,20,0,60,40.0,0,7560,3413,20,4119,8,0.45251322751322753,28161,73169.8,1.5
206,Owl,MPC,0,20,0,60,40.0,0,4320,1096,0,3153,71,0.2701388888888889,13805,31464.700000000004,1.5
207,Owl,Primitive,0,20,0,20,60.0,0,8640,5766,33,2462,379,0.7112268518518519,32883,138430.4,0.33
208,Owl,Jerk_Primitive,0,20,0,20,60.0,0,7560,5723,9,1820,8,0.7580687830687831,24099,75446.5,0.33
209,Owl,MPC,0,20,0,20,60.0,0,4320,1869,7,2310,134,0.4636574074074074,12596,44035.3,0.33
210,Owl,Primitive,0,20,0,40,60.0,0,8640,3531,34,4776,299,0.44328703703703703,28686,82290.40000000001,0.67
211,Owl,Jerk_Primitive,0,20,0,40,60.0,0,7560,4923,4,2631,2,0.6514550264550265,24245,63022.0,0.67
212,Owl,MPC,0,20,0,40,60.0,0,4320,1460,10,2756,94,0.3597222222222222,12081,29587.500000000004,0.67
213,Owl,Primitive,0,20,0,60,60.0,0,8640,2193,32,6181,234,0.2809027777777778,26174,56168.700000000004,1.0
