,Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Total samples,Success,Static collision,Dynamic collision,Area covered per step,Agent tracked per step,Agent tracking time
232,NoControl,Primitive,15,5,40,20,81,49,1,31,1.7912236710130391,3.009027081243731,26.96917489093502
233,NoControl,Primitive,15,5,40,30,102,83,0,19,2.4647717571435748,3.4098327725606388,26.331065634403714
234,NoControl,Primitive,15,5,40,40,120,90,0,30,3.1379953615004537,4.330946858929112,25.619752993008685
235,NoControl,Primitive,15,10,20,20,60,58,0,2,2.179524202420242,2.372112211221122,45.01281054238261
236,NoControl,Primitive,15,10,20,30,51,51,0,0,2.8146877837183495,3.207908806617573,41.476855429879514
237,NoControl,Primitive,15,10,20,40,61,60,0,1,3.2632418952618454,3.1820448877805485,36.15439813106621
238,NoControl,Primitive,15,10,30,20,39,30,1,8,2.0182657773217034,2.9245767060030783,40.82585649701748
239,NoControl,Primitive,15,10,30,30,50,44,0,6,2.482017982017982,3.986013986013986,36.7983660134817
240,NoControl,Primitive,15,10,30,40,56,48,0,8,3.0452547452547454,5.264735264735265,33.501992862196964
241,NoControl,Primitive,15,10,40,20,37,21,0,16,1.4419024683925346,2.759381898454746,26.504175393234213
242,NoControl,Primitive,15,10,40,30,46,37,0,9,2.5835881753312946,4.230377166156982,28.50270957439512
243,NoControl,Primitive,15,10,40,40,61,44,0,17,3.2041289023162136,3.675730110775428,25.289315027810627
